Company,TypeName,Inches,Ram,OpSys,Weight,Price,TouchScreen,IPS,HD_4K,CPU_Brand,GPU_Brand,Memory_Type,CPU_Frequency,Length,Width,PPI
HP,Notebook,17.3,16,Windows 10,1.252762968495368,11.123135064243138,0,0,1,Intel,Nvidia,SSD,1.8,1920.0,1080.0,4.854649288865456
Acer,Notebook,15.6,4,Windows 10,1.1314021114911006,10.08706998076417,0,0,0,AMD,AMD,SSD,3.0,1366.0,768.0,4.6196120963719745
HP,Notebook,15.6,4,No OS,1.0508216248317612,9.5324615515948,0,0,0,Intel,Intel,HDD,1.6,1366.0,768.0,4.6196120963719745
HP,Notebook,14.0,8,Windows 10,0.9669838461896731,10.675084480373934,0,0,1,Intel,Intel,HDD,1.6,1920.0,1080.0,5.064811007262561
Asus,Notebook,14.0,4,Windows 10 S,0.9745596399981308,9.603213681759023,0,0,0,AMD,AMD,SSD,1.5,1366.0,768.0,4.726814234417343
Dell,Notebook,17.3,16,Windows 10,1.33500106673234,11.216940754140841,0,0,1,Intel,AMD,Hybrid,1.8,1920.0,1080.0,4.854649288865456
HP,Notebook,17.3,8,Windows 10,1.252762968495368,10.808612983780158,0,0,1,Intel,Intel,SSD,1.6,1920.0,1080.0,4.854649288865456
Dell,Notebook,15.6,8,Windows 10,1.2119409739751128,10.435479203158344,0,0,0,Intel,AMD,HDD,2.5,1366.0,768.0,4.6196120963719745
Dell,Notebook,15.6,4,Windows 10,1.1631508098056809,10.082625714367484,0,0,1,Intel,AMD,HDD,2.0,1920.0,1080.0,4.9573188885088015
Acer,Ultrabook,14.0,8,Windows 10,0.9555114450274363,10.760039320283267,0,1,1,Intel,Intel,SSD,1.8,1920.0,1080.0,5.064811007262561
Acer,Notebook,15.6,4,Windows 10,1.1631508098056809,10.324732829606425,0,0,1,Intel,Nvidia,SSD,2.7,1920.0,1080.0,4.9573188885088015
HP,Notebook,15.6,8,Windows 10,1.1151415906193203,10.36918316559119,0,0,0,Intel,Intel,HDD,2.7,1366.0,768.0,4.6196120963719745
HP,Notebook,14.0,8,Windows 10,0.9669838461896731,10.871262720529089,0,0,1,Intel,Intel,SSD,1.8,1920.0,1080.0,5.064811007262561
Lenovo,Notebook,15.6,4,No OS,1.0647107369924282,9.50649203596322,0,0,0,Intel,Intel,HDD,1.1,1366.0,768.0,4.6196120963719745
Asus,Gaming,17.3,8,Windows 10,1.3862943611198906,10.819330984386541,0,0,1,Intel,Nvidia,Hybrid,2.5,1920.0,1080.0,4.854649288865456
Lenovo,Notebook,15.6,4,No OS,1.1631508098056809,10.188204734039374,0,0,1,Intel,Nvidia,HDD,2.5,1920.0,1080.0,4.9573188885088015
HP,Notebook,13.3,4,Windows 10,0.8415671856782186,10.525238618990686,0,1,1,Intel,Intel,SSD,2.5,1920.0,1080.0,5.115788496573994
Acer,Notebook,17.3,4,Windows 10,1.3862943611198906,10.460224916065657,0,1,1,Intel,Nvidia,HDD,2.7,1920.0,1080.0,4.854649288865456
Lenovo,Notebook,14.0,8,Windows 10,1.0116009116784799,10.993101907610118,0,1,1,Intel,AMD,SSD,1.6,1920.0,1080.0,5.064811007262561
Lenovo,Gaming,15.6,8,No OS,1.2237754316221157,10.742925749387153,0,1,1,Intel,Nvidia,SSD,2.8,1920.0,1080.0,4.9573188885088015
Toshiba,Notebook,15.6,4,Windows 10,1.1314021114911006,10.37584964841171,0,0,0,Intel,Intel,HDD,2.3,1366.0,768.0,4.6196120963719745
HP,Notebook,15.6,4,Windows 10,1.0508216248317612,9.88640853285114,0,0,0,AMD,AMD,SSD,2.5,1366.0,768.0,4.6196120963719745
Asus,Ultrabook,14.0,8,Windows 10,0.8109302162163288,10.977734058532482,0,0,1,Intel,Intel,SSD,1.8,1920.0,1080.0,5.064811007262561
HP,Ultrabook,12.5,8,Windows 10,0.6780335427498971,11.58344841861755,1,1,1,Intel,Intel,SSD,1.2,3840.0,2160.0,5.867784887019588
Asus,Notebook,15.6,4,Windows 10,1.0986122886681098,9.816257242491497,0,0,1,Intel,Intel,HDD,1.1,1920.0,1080.0,4.9573188885088015
