Company,TypeName,Ram,OpSys,Weight,CPU,HDD,SSD,GPU,TouchScreen,IPS,PPI
HP,Ultrabook,8,Windows,1.54,Intel Core i7,,512,Intel,0,0,157.3505121487356
Toshiba,Ultrabook,16,Windows,1.05,Intel Core i7,,512,Intel,0,0,165.6321180513006
HP,Ultrabook,8,Windows,1.11,Intel Core i7,,256,Intel,1,1,165.6321180513006
Lenovo,Notebook,4,Windows,2.05,Intel Core i5,0,,Intel,0,0,141.21199808219862
Asus,Gaming,8,Windows,2.73,Intel Core i5,1000,128,Nvidia,0,1,127.33567457123111
Asus,Notebook,8,Windows,2.0,Intel Core i7,,256,Intel,0,0,157.3505121487356
Asus,2 in 1 Convertible,16,Windows,2.3,Intel Core i7,2000,512,Nvidia,1,0,282.42399616439724
Lenovo,Ultrabook,8,Windows,1.13,Intel Core i5,,,Intel,0,1,157.3505121487356
HP,Notebook,8,Windows,1.49,Intel Core i5,,512,Intel,0,0,165.6321180513006
Lenovo,Gaming,16,Windows,2.5,AMD,1000,512,AMD,0,1,141.21199808219862
Lenovo,Notebook,8,Windows,1.99,Intel Core i7,,512,Intel,0,1,141.21199808219862
Dell,Notebook,16,Windows,2.8,Intel Core i7,2000,256,AMD,0,0,127.33567457123111
Dell,Ultrabook,8,Other,1.23,Intel Core i5,,256,Intel,1,0,276.053530085501
HP,Notebook,4,Windows,1.86,Intel Core i3,1000,,Intel,0,0,141.21199808219862
Dell,Notebook,4,Other,2.25,Intel Core i3,1000,,AMD,0,0,141.21199808219862
Dell,Gaming,16,Windows,2.65,Intel Core i7,1000,512,Nvidia,0,1,282.42399616439724
Dell,Gaming,16,Windows,2.59,Intel Core i7,1000,,Nvidia,0,0,141.21199808219862
Lenovo,2 in 1 Convertible,8,Windows,1.7,Intel Core i5,,256,Intel,1,0,157.3505121487356
Lenovo,2 in 1 Convertible,4,Windows,1.8,Intel Core i5,,128,Intel,1,0,157.3505121487356
Dell,Notebook,8,Windows,2.02,Intel Core i7,2000,128,AMD,0,0,141.21199808219862
MSI,Gaming,16,Windows,2.9,Intel Core i7,1000,256,Nvidia,0,0,127.33567457123111
Lenovo,Notebook,4,Other,2.2,Other Intel Processor,1000,,Intel,0,0,100.45466986113651
HP,Notebook,4,Other,1.96,Intel Core i5,0,,Intel,0,0,100.45466986113651
Asus,Ultrabook,16,Windows,1.8,Intel Core i7,,512,Nvidia,0,0,141.21199808219862
Mediacom,Notebook,4,Windows,1.4,Other Intel Processor,,32,Intel,0,0,157.3505121487356
Toshiba,Notebook,8,Windows,2.2,Intel Core i5,,256,Intel,0,0,100.45466986113651
Xiaomi,Ultrabook,8,Windows,1.28,Intel Core i5,,256,Nvidia,0,1,165.6321180513006
Asus,Gaming,16,Windows,3.2,AMD,1000,256,AMD,0,0,127.33567457123111
Toshiba,Notebook,4,Windows,2.1,Intel Core i5,0,,Intel,0,0,100.45466986113651
Dell,2 in 1 Convertible,8,Windows,1.55,Intel Core i5,1000,,Intel,1,0,165.6321180513006
Acer,Gaming,8,Other,2.4,Intel Core i5,1000,,Nvidia,0,0,141.21199808219862
Dell,Workstation,8,Windows,2.0,Intel Core i7,,256,Nvidia,0,1,141.21199808219862
Dell,2 in 1 Convertible,12,Windows,2.19,Intel Core i7,,512,Intel,1,1,141.21199808219862
Asus,Gaming,8,Windows,3.0,Intel Core i7,1000,128,Nvidia,0,0,127.33567457123111
HP,Ultrabook,8,Windows,1.83,Intel Core i7,,256,Nvidia,0,1,141.21199808219862
Acer,Notebook,4,Windows,2.1,Other Intel Processor,1000,,Intel,0,0,100.45466986113651
Dell,2 in 1 Convertible,8,Windows,2.3,Intel Core i5,,256,Intel,1,1,141.21199808219862
Asus,Gaming,8,Windows,2.7,Intel Core i7,1000,256,Nvidia,0,1,127.33567457123111
Dell,Gaming,8,Windows,2.62,Intel Core i7,1000,,Nvidia,0,0,141.21199808219862
Dell,Notebook,8,Windows,2.36,Intel Core i7,1000,,AMD,0,0,100.45466986113651
Dell,2 in 1 Convertible,8,Windows,1.6,Intel Core i5,,256,Intel,1,1,165.6321180513006
Dell,2 in 1 Convertible,4,Windows,2.08,Intel Core i3,0,,Intel,1,0,146.86047800548656
Lenovo,Notebook,8,Other,2.8,Intel Core i5,,256,Nvidia,0,0,106.11306214269258
Dell,2 in 1 Convertible,8,Windows,1.62,Intel Core i7,,256,Intel,1,0,165.6321180513006
Microsoft,Ultrabook,4,Windows,1.252,Other Intel Processor,,128,Intel,1,0,200.84255993695703
Lenovo,2 in 1 Convertible,16,Windows,1.4,Intel Core i7,,512,Intel,1,1,316.96506044349616
MSI,Gaming,16,Windows,2.2,Intel Core i7,1000,256,Nvidia,0,0,141.21199808219862
Dell,Ultrabook,8,Windows,1.9,Intel Core i5,1000,,AMD,0,0,141.21199808219862
HP,Notebook,6,Windows,2.71,Intel Core i5,2000,,AMD,0,1,127.33567457123111
Lenovo,Notebook,8,Other,2.2,Intel Core i3,1000,,Nvidia,0,0,141.21199808219862
HP,Netbook,8,Windows,0.97,Other Intel Processor,,512,Intel,0,0,176.23257360658386
HP,Notebook,6,Windows,1.91,Intel Core i5,,256,AMD,0,0,141.21199808219862
Lenovo,Ultrabook,8,Windows,1.75,Intel Core i7,,256,AMD,0,1,157.3505121487356
